"activateable","associateEntityType","associateParentEntity","createable","custom","customSetting","deepCloneable","deletable","deprecatedAndHidden","feedEnabled","hasSubtypes","idEnabled","isInterface","isSubtype","keyPrefix","label","labelPlural","layoutable","mergeable","mruEnabled","name","queryable","replicateable","retrieveable","searchable","triggerable","undeletable","updateable"
"false",,,"true","false","false",,"true","false","false","false","true",,"false",,"Tag: Exception  Rules","Tag: Exception  Rules","false","false","false","Exception_Rules__Tag","true","false","true","false","false","false","false"
"false",,,"true","true","true",,"true","false","false","false","true",,"false","a95","Exception  Rules","Exception  Rules","true","false","false","Exception_Rules__c","true","true","true","true","false","true","true"
"false",,,"false","false","false",,"false","false","false","false","true",,"false","0XC","External Data Source","External Data Sources","false","false","true","ExternalDataSource","true","false","true","false","false","false","false"
"false",,,"true","false","false",,"true","false","false","false","true",,"false","0XU","External Data User Authentication","External Data User Authentications","false","false","false","ExternalDataUserAuth","true","false","true","false","false","false","true"
"false",,,"true","false","false",,"true","false","false","false","true",,"false","0AY","External Event","External Events","true","false","false","ExternalEvent","true","true","true","false","false","true","true"
"false",,,"true","false","false",,"true","false","false","false","true",,"false","08N","External Event Mapping","External Event Mappings","false","false","false","ExternalEventMapping","true","true","true","false","false","true","true"
"false",,,"true","false","false",,"true","false","false","false","true",,"false",,"External Event Mapping Share","External Event Mapping Share","false","false","false","ExternalEventMappingShare","true","false","true","false","false","false","true"
"false",,,"false","false","false",,"false","false","false","false","true",,"false","0AL","Managed Social Account","Managed Social Accounts","false","false","false","ExternalSocialAccount","true","false","true","false","false","false","false"
"false",,,"false","false","false",,"false","false","false","false","false",,"false",,"Change Event: FTP Password Log","Change Event: FTP Password Log","false","false","false","FTP_Password_Log__ChangeEvent","false","false","true","false","true","false","false"
"false",,,"true","false","false",,"true","false","false","false","true",,"false",,"Tag: FTP Password Log","Tag: FTP Password Log","false","false","false","FTP_Password_Log__Tag","true","false","true","false","false","false","false"
"false",,,"true","true","false",,"true","false","false","false","true",,"false","a1Q","FTP Password Log","FTP Password Log","true","false","false","FTP_Password_Log__c","true","true","true","false","true","true","true"
"false",,,"true","false","false",,"true","false","false","false","true",,"false","08M","Feed Attachment","Feed Attachments","false","false","false","FeedAttachment","true","false","true","false","false","false","true"
